ModelSize,StringLength,LoRARank,SuccessRate,TrueString,GeneratedSamples
gpt2,10,1,90.00,_D:UgyTPPR,_D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR | _D:UgyTPPR
gpt2-xl,10,2,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
gpt2-xl,10,4,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
gpt2-xl,10,8,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
gpt2-xl,10,16,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
gpt2-xl,10,32,100.00,?0xHV}x&zF,?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF | ?0xHV}x&zF
gpt2-xl,20,1,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,20,2,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,20,4,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,20,8,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,20,16,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,20,32,100.00,#1&Y6uy;:8B'80EujQhb,#1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb | #1&Y6uy;:8B'80EujQhb
gpt2-xl,30,1,100.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
gpt2-xl,30,2,100.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
gpt2-xl,30,4,100.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
gpt2-xl,30,8,100.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
gpt2-xl,30,16,100.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
gpt2-xl,30,32,99.00,"%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z""","%%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"" | %%AZ$iNuI(+[#}D(T@k/P\% oDg&Z"""
